Date,Local Time,Road Team,Score,Home Team,Inn.,Venue,Game Time,Attendance,Boxscore
"Mar 11, 2023",12:00,Nicaragua,–,Puerto Rico,,LoanDepot Park,,,Boxscore
"Mar 11, 2023",19:00,Dominican Republic,–,Venezuela,,LoanDepot Park,,,Boxscore
"Mar 12, 2023",12:00,Nicaragua,–,Israel,,LoanDepot Park,,,Boxscore
"Mar 12, 2023",19:00,Venezuela,–,Puerto Rico,,LoanDepot Park,,,Boxscore
"Mar 13, 2023",12:00,Dominican Republic,–,Nicaragua,,LoanDepot Park,,,Boxscore
"Mar 13, 2023",19:00,Israel,–,Puerto Rico,,LoanDepot Park,,,Boxscore
"Mar 14, 2023",12:00,Nicaragua,–,Venezuela,,LoanDepot Park,,,Boxscore
"Mar 14, 2023",19:00,Israel,–,Dominican Republic,,LoanDepot Park,,,Boxscore
"Mar 15, 2023",12:00,Venezuela,–,Israel,,LoanDepot Park,,,Boxscore
"Mar 15, 2023",19:00,Puerto Rico,–,Dominican Republic,,LoanDepot Park,,,Boxscore
