Date,Local Time,Road Team,Score,Home Team,Inn.,Venue,Game Time,Attendance,Boxscore
"Mar 8, 2023",12:00,Cuba,–,Netherlands,,Taichung Stadium,,,Boxscore
"Mar 8, 2023",19:00,Panama,–,Chinese Taipei,,Taichung Stadium,,,Boxscore
"Mar 9, 2023",12:00,Panama,–,Netherlands,,Taichung Stadium,,,Boxscore
"Mar 9, 2023",19:00,Italy,–,Cuba,,Taichung Stadium,,,Boxscore
"Mar 10, 2023",12:30,Cuba,–,Panama,,Taichung Stadium,,,Boxscore
"Mar 10, 2023",19:00,Italy,–,Chinese Taipei,,Taichung Stadium,,,Boxscore
"Mar 11, 2023",12:00,Panama,–,Italy,,Taichung Stadium,,,Boxscore
"Mar 11, 2023",19:00,Netherlands,–,Chinese Taipei,,Taichung Stadium,,,Boxscore
"Mar 12, 2023",12:00,Chinese Taipei,–,Cuba,,Taichung Stadium,,,Boxscore
"Mar 12, 2023",19:00,Netherlands,–,Italy,,Taichung Stadium,,,Boxscore
