Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Santiago, Orlando",12:09,1,1,100%,0,0,0%,0,0,0%,1,2,3,0,0,0,0,0,2
"Butler, Jamar",28:44,0,1,0%,3,9,33%,2,2,100%,1,1,2,9,1,1,1,0,11
"Jones, Joel",32:13,4,4,100%,5,7,71%,3,3,100%,1,4,5,2,0,1,1,0,26
"Cruz, Alvin",11:15,0,0,0%,1,1,100%,0,0,0%,0,1,1,0,3,1,1,0,3
"Villafane, Luis",12:56,6,7,86%,0,0,0%,0,0,0%,1,1,2,1,3,1,0,0,12
"Colón, Alexis 'Bebo'",8:07,0,2,0%,0,1,0%,0,0,0%,1,0,1,0,2,1,0,0,0
"Crispin, Nathanael",1:02,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Baez, Chris",5:57,1,1,100%,0,1,0%,0,0,0%,0,2,2,1,0,0,0,1,2
"Figueroa, Angel 'Buster'",18:50,4,7,57%,0,1,0%,0,1,0%,2,3,5,4,2,2,0,0,8
"Huertas, David",22:34,0,3,0%,3,4,75%,0,0,0%,1,4,5,3,2,1,0,1,9
"Ramos, Peter John",26,8,11,73%,0,0,0%,3,3,100%,0,9,9,3,2,3,1,1,19
"Shannon, Terrence",20:06,2,5,40%,1,1,100%,0,0,0%,1,3,4,3,1,0,1,1,7
Totals:,,26,42,62%,13,25,52%,8,9,89%,9,30,39,26,16,11,5,4,99
