Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Diogu, Ike",30:13,1,4,25%,0,0,0%,7,8,88%,4,4,8,2,3,6,1,2,9
"Fortuna, Elpidio Manuel",19:41,2,5,40%,0,2,0%,0,0,0%,1,1,2,1,1,0,0,0,4
"Rosario, Mike",17:27,1,3,33%,2,4,50%,1,2,50%,0,2,2,0,0,1,0,0,9
"Colon, Gabriel 'Pirulo'",25:49,5,10,50%,0,2,0%,2,2,100%,3,6,9,0,2,1,1,1,12
"Emory, Carlos",24:47,4,10,40%,1,1,100%,0,0,0%,4,2,6,1,2,1,0,0,11
"Rivera, Carlos Rubén",25:41,2,2,100%,3,3,100%,7,9,78%,1,0,1,3,3,4,1,0,20
"Santiago, Eddin",20:32,0,0,0%,0,3,0%,1,2,50%,1,3,4,7,3,0,5,0,1
"Harris, Mike",35:46,5,15,33%,4,6,67%,4,7,57%,1,9,10,2,3,2,0,0,26
Totals:,,20,49,41%,10,21,48%,22,30,73%,15,27,42,16,17,15,8,3,92
