Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Diaz, Guillermo",30:03,2,4,50%,2,4,50%,4,6,67%,0,2,2,3,3,2,0,0,14
"Clarke, Coty",27:42,7,9,78%,2,6,33%,4,6,67%,2,5,7,4,4,2,0,0,24
"Clemente, Denis",32:18,3,3,100%,0,5,0%,0,0,0%,1,3,4,0,1,2,2,0,6
"Cortes, David",6:40,1,2,50%,0,0,0%,0,0,0%,1,0,1,0,0,0,0,0,2
"Victor, Cuthbert",7:59,1,1,100%,0,0,0%,0,0,0%,0,1,1,0,0,0,0,2,2
"Lalanne, Cady",21:56,2,4,50%,0,0,0%,3,4,75%,0,2,2,0,5,0,0,2,7
"Jones, Joel",7:27,0,1,0%,0,0,0%,0,0,0%,0,2,2,1,1,0,1,0,0
"Balkman, Renaldo",31:11,5,12,42%,0,0,0%,8,8,100%,2,8,10,4,5,1,3,1,18
"Huertas, David",19:46,2,6,33%,1,5,20%,0,0,0%,2,0,2,0,2,1,0,0,7
"Aubry, Jeffrion",14:52,0,2,0%,0,0,0%,0,0,0%,1,1,2,0,3,0,0,0,0
Totals:,,23,44,52%,5,20,25%,19,24,79%,9,24,33,12,24,8,6,5,80
