Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Rolón, Tyquan",3:20,1,1,100%,0,1,0%,2,3,67%,0,0,0,0,0,0,0,0,4
"Austin, Isaiah",29:35,4,9,44%,1,3,33%,2,4,50%,2,2,4,1,1,2,0,1,13
"Hamilton, Daniel",35:06,5,9,56%,1,7,14%,3,5,60%,0,7,7,5,4,1,0,0,16
"Berdiel, Miguel 'Ali'",24:32,2,4,50%,0,2,0%,0,0,0%,1,5,6,3,1,3,0,0,4
"Efejuku-Rose, Weyinmi",18:11,4,5,80%,0,1,0%,0,0,0%,1,2,3,3,0,1,1,0,8
"Han, Francis Jonathan",31:28,0,1,0%,1,3,33%,0,2,0%,0,3,3,5,3,1,0,0,3
"Christmas, Rakeem",19:40,6,10,60%,0,1,0%,6,7,86%,1,2,3,0,4,0,0,0,18
"Pérez, Rafael",11:02,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,1,0,0,0,0
"Emory, Carlos",10:09,0,0,0%,0,0,0%,0,0,0%,0,1,1,0,0,2,0,0,0
"Alamo, Angel 'Junito'",16:57,1,1,100%,2,3,67%,0,0,0%,0,1,1,2,1,0,0,1,8
Totals:,,23,41,56%,5,21,24%,13,21,62%,5,23,28,19,15,10,1,2,74
