Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Mojica, Sammy",13:10,0,1,0%,1,1,100%,1,2,50%,0,0,0,0,1,0,0,1,4
"Rodriguez, Angel Daniel",36:33,5,11,45%,1,8,13%,6,7,86%,1,5,6,6,4,4,0,0,19
"Carattini, Víctor",5:22,1,2,50%,0,0,0%,0,0,0%,1,0,1,0,1,1,0,0,2
"Santiago, Jr., Benito",29:15,0,2,0%,3,5,60%,3,4,75%,0,4,4,0,3,3,2,0,12
"Doolittle, Kristian",30:48,3,7,43%,0,3,0%,3,4,75%,3,5,8,1,2,1,0,0,9
"Romero, Ismael",21:19,4,9,44%,0,0,0%,2,2,100%,2,6,8,1,3,1,2,1,10
"Cuascut, Luis D",9:12,1,1,100%,0,0,0%,0,2,0%,2,2,4,0,2,0,0,0,2
"Mojica, Javier",35:40,4,10,40%,3,5,60%,0,1,0%,2,1,3,1,3,1,3,0,17
"Uter, Adrian",18:41,1,2,50%,0,1,0%,0,2,0%,2,3,5,1,4,3,1,0,2
Totals:,,19,45,42%,8,23,35%,15,24,63%,13,26,39,10,23,14,8,2,77
