0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Team
,,,,,,,,,,,,,,,,,,,,,Mayaguez
0,"Buycks, Dwight",29:23,7,10,70%,2,4,50%,2,3,67%,1,0,1,3,0,0,3,0,22,Mayaguez
5,"Paige, Jaysean",26:42,6,9,67%,4,9,44%,1,3,33%,1,1,2,1,1,2,1,0,25,Mayaguez
6,"Gonzalez, Luis",1:13,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,Mayaguez
9,"Jones, Terrence",20:43,4,7,57%,0,4,0%,1,3,33%,1,2,3,4,1,0,1,0,9,Mayaguez
10,"Lopez, Christian",2:08,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,Mayaguez
12,"Ocasio Negron, Adrian",2:08,0,0,0%,0,0,0%,0,0,0%,0,2,2,0,0,0,0,0,0,Mayaguez
13,"Jenkins, Lorenzo",22:07,0,1,0%,6,8,75%,3,3,100%,1,2,3,0,3,0,0,0,21,Mayaguez
20,"Cintron, Jordan",34:32,1,3,33%,1,2,50%,2,2,100%,3,8,11,2,2,0,1,0,7,Mayaguez
22,"Barham, Marcus",2:08,0,0,0%,0,1,0%,0,0,0%,0,0,0,0,1,0,0,0,0,Mayaguez
23,"Hilton, Jhimy",1:13,0,0,0%,0,0,0%,0,0,0%,0,1,1,0,0,0,0,0,0,Mayaguez
24,"Ruiz, Jared",32:08,2,6,33%,3,5,60%,2,2,100%,1,6,7,5,3,2,1,0,15,Mayaguez
25,"Basabe, Melsahn",7:07,0,1,0%,0,0,0%,0,0,0%,0,1,1,0,1,2,0,0,0,Mayaguez
30,"Pizarro, Christian Jomar",18:28,0,0,0%,1,1,100%,0,0,0%,0,2,2,6,3,1,3,0,3,Mayaguez
,Totals:,,20,37,54%,17,34,50%,11,16,69%,8,25,33,21,15,7,10,0,102,Mayaguez
