,Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS,Team
,,,,,,,,,,,,,,,,,,,,,Guaynabo
0,"Viñales, Kyle",33:06,3,9,33%,1,5,20%,0,0,0%,1,2,3,7,0,3,0,0,9,Guaynabo
1,"Rolón, Tyquan",28:58,0,3,0%,1,5,20%,0,0,0%,0,3,3,3,3,2,1,0,3,Guaynabo
2,"Guerra, Kylan",3:20,0,0,0%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,0,0,Guaynabo
4,"Ocasio, Jonathan",16:11,0,3,0%,0,1,0%,3,4,75%,2,1,3,1,3,1,0,0,3,Guaynabo
13,"Ortiz Traylor, Alonzo",12:21,0,1,0%,2,4,50%,0,2,0%,0,0,0,0,1,1,1,0,6,Guaynabo
18,"Polo, Tyler",2:31,0,0,0%,0,0,0%,0,0,0%,0,0,0,1,0,0,0,0,0,Guaynabo
22,"Early, Jeff",17:41,7,9,78%,1,2,50%,1,1,100%,2,3,5,0,3,2,0,0,18,Guaynabo
26,"Moore, Ben",25:43,3,5,60%,0,0,0%,2,2,100%,1,6,7,1,2,3,0,1,8,Guaynabo
32,"Balkman, Renaldo",27:32,4,8,50%,1,2,50%,4,6,67%,2,5,7,2,1,0,1,1,15,Guaynabo
34,"Hankins, Zach",22:49,4,8,50%,0,0,0%,4,4,100%,5,1,6,3,1,1,0,1,12,Guaynabo
40,"Young, Kevin",9:48,1,1,100%,0,2,0%,0,0,0%,0,3,3,1,1,1,0,0,2,Guaynabo
,Totals:,,22,47,47%,6,22,27%,14,19,74%,13,24,37,19,15,14,3,3,76,Guaynabo
