Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Santiago, Orlando",1:04,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Williams, Corey",18:14,1,6,17%,0,0,0%,3,4,75%,3,2,5,5,1,2,0,0,5
"Jones, Joel",11:22,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,1,0,0,0
"Cruz, Alvin",21:43,0,1,0%,0,3,0%,0,0,0%,1,2,3,7,3,3,0,0,0
"Villafane, Luis",8:28,0,1,0%,0,0,0%,0,0,0%,0,2,2,0,1,1,0,1,0
"Baez, Chris",2:57,0,1,0%,1,2,50%,0,0,0%,0,0,0,0,0,0,0,0,3
"Davis, Ricky",36,4,6,67%,3,4,75%,8,8,100%,1,2,3,3,2,7,2,1,25
"Alamo, Angel 'Junito'",2:01,0,0,0%,1,1,100%,0,0,0%,0,0,0,0,0,0,0,0,3
"Huertas, David",29:40,1,1,100%,3,7,43%,2,2,100%,0,5,5,0,2,0,0,1,13
"Ramos, Peter John",31:31,9,13,69%,1,1,100%,8,9,89%,1,10,11,0,4,2,0,1,29
"Shannon, Terrence",36:56,3,4,75%,0,3,0%,1,4,25%,4,10,14,3,2,2,1,1,7
Totals:,,18,33,55%,9,21,43%,22,27,81%,10,33,43,18,15,18,3,5,85
