Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Galindo, Alex",22:12,2,6,33%,4,8,50%,4,4,100%,0,2,2,2,3,2,2,0,20
"Gonzalez, Javier",20:53,1,1,100%,0,1,0%,1,1,100%,0,2,2,0,3,2,2,0,3
"Sosa, Edgar",8:07,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,1,1,0,0,0
"Pagan, Wilfredo",25:40,1,3,33%,0,1,0%,3,3,100%,1,4,5,4,2,2,0,0,5
"Sánchez, Ricardo 'Ricky'",35:20,0,0,0%,3,3,100%,4,4,100%,0,4,4,5,3,0,0,0,13
"Orozco, William",10:09,3,3,100%,0,0,0%,0,0,0%,1,2,3,0,2,2,0,0,6
"Villegas, Samuel",3:57,0,0,0%,0,1,0%,0,0,0%,0,1,1,0,1,1,0,0,0
"Jackson, David 'Mooch'",26:17,5,9,56%,1,2,50%,4,4,100%,3,5,8,3,1,0,1,0,17
"Han, Francis Jonathan",12:51,1,2,50%,0,0,0%,1,2,50%,0,4,4,1,2,0,0,0,3
"Williams, Leon V.",34:29,6,11,55%,0,1,0%,9,10,90%,1,5,6,1,4,2,3,1,21
Totals:,,19,36,53%,8,17,47%,26,28,93%,6,29,35,16,22,12,8,1,88
