Date,Local Time,Road Team,Score,Home Team,Inn.,Venue,Game Time,Attendance,Boxscore
"Mar 9, 2023",12:00,Australia,–,South Korea,,Tokyo Dome,,,Boxscore
"Mar 9, 2023",19:00,China,–,Japan,,Tokyo Dome,,,Boxscore
"Mar 10, 2023",12:00,Czech Republic,–,China,,Tokyo Dome,,,Boxscore
"Mar 10, 2023",19:00,South Korea,–,Japan,,Tokyo Dome,,,Boxscore
"Mar 11, 2023",12:00,China,–,Australia,,Tokyo Dome,,,Boxscore
"Mar 11, 2023",19:00,Czech Republic,–,Japan,,Tokyo Dome,,,Boxscore
"Mar 12, 2023",12:00,Czech Republic,–,South Korea,,Tokyo Dome,,,Boxscore
"Mar 12, 2023",19:00,Japan,–,Australia,,Tokyo Dome,,,Boxscore
"Mar 13, 2023",12:00,Australia,–,Czech Republic,,Tokyo Dome,,,Boxscore
"Mar 13, 2023",19:00,South Korea,–,China,,Tokyo Dome,,,Boxscore
