Date,Local Time,Road Team,Score,Home Team,Inn.,Venue,Game Time,Attendance,Boxscore
"Mar 11, 2023",12:30,Colombia,–,Mexico,,Chase Field,,,Boxscore
"Mar 11, 2023",19:00,Great Britain,–,United States,,Chase Field,,,Boxscore
"Mar 12, 2023",12:00,Great Britain,–,Canada,,Chase Field,,,Boxscore
"Mar 12, 2023",19:00,Mexico,–,United States,,Chase Field,,,Boxscore
"Mar 13, 2023",12:00,Colombia,–,Great Britain,,Chase Field,,,Boxscore
"Mar 13, 2023",19:00,Canada,–,United States,,Chase Field,,,Boxscore
"Mar 14, 2023",12:00,Canada,–,Colombia,,Chase Field,,,Boxscore
"Mar 14, 2023",19:00,Great Britain,–,Mexico,,Chase Field,,,Boxscore
"Mar 15, 2023",12:00,Mexico,–,Canada,,Chase Field,,,Boxscore
"Mar 15, 2023",19:00,United States,–,Colombia,,Chase Field,,,Boxscore
