Rk,Team,W,L,Tiebreaker,Unnamed: 5
1,Japan,7,2,–,
Lost in Final,Lost in Final,Lost in Final,Lost in Final,Lost in Final,Lost in Final
2,South Korea,6,3,–,
Lost in Semifinals,Lost in Semifinals,Lost in Semifinals,Lost in Semifinals,Lost in Semifinals,Lost in Semifinals
3,Venezuela,6,2,–,
4,United States,4,4,–,
Eliminated in Second Round,Eliminated in Second Round,Eliminated in Second Round,Eliminated in Second Round,Eliminated in Second Round,Eliminated in Second Round
5,Puerto Rico,4,2,1.75 RA/9,
6,Cuba,4,2,4.15 RA/9,
7,Netherlands,2,4,3.98 RA/9,
8,Mexico,2,4,10.10 RA/9,
Eliminated in First Round,Eliminated in First Round,Eliminated in First Round,Eliminated in First Round,Eliminated in First Round,Eliminated in First Round
9,Dominican Republic,1,2,1.57 RA/9,
10,Italy,1,2,6.84 RA/9,
11,China,1,2,7.43 RA/9,
12,Australia,1,2,10.96 RA/9,
13,Canada,0,2,6.35 RA/9,
14,Chinese Taipei,0,2,7.31 RA/9,
15,Panama,0,2,9.00 RA/9,
16,South Africa,0,2,11.65 RA/9,
