date,venue,matchup,score
Americas,Automatically qualified,4,"Pool stage (2006, 2009, 2013, 2017)"
Automatically qualified,1,Pool stage (2017),11
Automatically qualified,4,Runners-up (2006),8
Automatically qualified,4,Champions (2013),9
Automatically qualified,4,"Quarterfinals (2006, 2009)",5
Automatically qualified,4,"Runners-up (2013, 2017)",13
Automatically qualified as hosts,4,Champions (2017),3
Automatically qualified,4,Third place (2009),6
Qualifier 2 Winners,2,"Pool stage (2006, 2009)",12
Qualifier 2 Runners-up,0,None (debut),17
Asia,Automatically qualified,4,"Pool stage (2006, 2009, 2013, 2017)"
Automatically qualified as hosts,4,Quarterfinals (2013),2
Automatically qualified as hosts,4,"Champions (2006, 2009)",1
Automatically qualified,4,Runners-up (2009),4
Europe,Automatically qualified,1,Quarterfinals (2017)
Automatically qualified,4,Quarterfinals (2013),16
Automatically qualified,4,"Fourth place (2013, 2017)",7
Qualifier 1 Winners,0,None (debut),22
Qualifier 1 Runners-up,0,None (debut),15
Oceania,Automatically qualified,4,"Pool stage (2006, 2009, 2013, 2017)"
