Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Mojica, Sammy",13:01,2,4,50%,0,1,0%,0,0,0%,0,0,0,3,3,1,2,0,4
"Ramirez, Luis S.",4:38,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Phelps, Eugene",38:34,7,15,47%,0,0,0%,7,11,64%,4,7,11,4,1,1,0,0,21
"Branch, Onzie",27:23,6,6,100%,0,0,0%,3,5,60%,2,6,8,4,2,3,0,4,15
"Galindo, Alex",18:21,1,1,100%,2,4,50%,0,0,0%,0,1,1,0,3,1,0,0,8
"Ayuso, Elias 'Larry'",22:13,0,4,0%,2,6,33%,2,2,100%,0,0,0,2,5,0,0,0,8
"Butler, Nathaniel",8:53,1,1,100%,0,0,0%,0,0,0%,0,0,0,2,0,1,0,0,2
"Sosa, Isaac",27:57,3,4,75%,0,5,0%,4,5,80%,0,4,4,2,2,3,1,0,10
"Maldonado, Diego",5:11,0,0,0%,0,0,0%,0,0,0%,0,1,1,0,2,0,0,0,0
"Tyler, Jeremy",21:12,5,9,56%,1,1,100%,11,11,100%,1,8,9,3,5,6,0,1,24
"Torres, Andres",12:32,1,1,100%,1,2,50%,0,0,0%,2,1,3,2,3,0,0,0,5
Totals:,,26,45,58%,6,19,32%,27,34,79%,9,28,37,22,26,16,3,5,97
