Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Díaz, Jorge Brian",7:11,1,3,33%,0,1,0%,0,2,0%,3,1,4,0,0,0,0,1,2
"Daniels, Will",18:15,5,8,63%,0,2,0%,3,5,60%,0,3,3,2,2,0,0,0,13
"Rodriguez, Ernesto",22:02,1,2,50%,1,3,33%,2,2,100%,1,1,2,2,4,0,0,0,7
"Chaney, Richard",39:13,1,5,20%,3,4,75%,2,2,100%,2,6,8,1,2,2,1,1,13
"Jackson, Cedric",17:57,1,3,33%,0,1,0%,0,0,0%,0,2,2,4,1,0,0,0,2
"Rojas, Brian O.",20,1,3,33%,2,3,67%,0,0,0%,3,2,5,1,3,0,0,0,8
"Ayuso, Elias 'Larry'",19:59,1,2,50%,1,7,14%,2,2,100%,0,4,4,0,0,3,0,0,7
"Apodaca, Rick",25:19,1,2,50%,2,7,29%,3,3,100%,0,3,3,3,1,1,1,0,11
"Petro, Johan",13:52,1,3,33%,0,0,0%,0,0,0%,1,1,2,0,1,3,0,0,2
"Garcia, Angel 'Piwi'",16:07,2,3,67%,1,2,50%,2,4,50%,0,0,0,1,4,1,0,0,9
Totals:,,15,34,44%,10,30,33%,14,20,70%,10,23,33,14,18,10,2,2,74
