gameid_,Source,Day,Time,AM:PM
20081001,"fecha.csv",2008-05-16 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081002,"fecha.csv",2008-05-19 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081003,"fecha.csv",2008-05-22 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081004,"fecha.csv",2008-05-19 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081005,"fecha.csv",2008-05-20 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081006,"fecha.csv",2008-05-21 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081007,"fecha.csv",2008-05-21 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081008,"fecha.csv",2008-05-22 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081009,"fecha.csv",2008-05-23 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081010,"fecha.csv",2008-05-24 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081011,"fecha.csv",2008-05-25 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081012,"fecha.csv",2008-05-25 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081013,"fecha.csv",2008-05-25 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081014,"fecha.csv",2008-05-26 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081015,"fecha.csv",2008-05-27 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081016,"fecha.csv",2008-05-27 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081017,"fecha.csv",2008-05-28 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081018,"fecha.csv",2008-05-28 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081019,"fecha.csv",2008-05-29 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081020,"fecha.csv",2008-05-30 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081021,"fecha.csv",2008-05-30 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081022,"fecha.csv",2008-05-31 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081023,"fecha.csv",2008-06-01 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081024,"fecha.csv",2008-06-01 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081025,"fecha.csv",2008-06-02 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081026,"fecha.csv",2008-06-03 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081027,"fecha.csv",2008-06-03 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081028,"fecha.csv",2008-06-04 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081029,"fecha.csv",2008-06-05 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081030,"fecha.csv",2008-06-05 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081031,"fecha.csv",2008-06-06 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081032,"fecha.csv",2008-06-06 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081033,"fecha.csv",2008-06-08 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081034,"fecha.csv",2008-06-07 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081035,"fecha.csv",2008-06-08 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081036,"fecha.csv",2008-06-08 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081037,"fecha.csv",2008-06-10 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081038,"fecha.csv",2008-06-11 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081039,"fecha.csv",2008-06-10 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081040,"fecha.csv",2008-06-12 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081041,"fecha.csv",2008-06-12 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081042,"fecha.csv",2008-06-12 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081043,"fecha.csv",2008-06-13 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081044,"fecha.csv",2008-06-14 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20081045,"fecha.csv",2008-06-13 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091001,"fecha.csv",2009-04-17 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091002,"fecha.csv",2009-04-17 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091003,"fecha.csv",2009-06-15 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091004,"fecha.csv",2009-04-17 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091005,"fecha.csv",2009-04-18 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091006,"fecha.csv",2009-04-18 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091007,"fecha.csv",2009-04-18 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091008,"fecha.csv",2009-04-19 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091010,"fecha.csv",2009-04-20 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091011,"fecha.csv",2009-04-21 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091013,"fecha.csv",2009-04-22 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091014,"fecha.csv",2009-04-22 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091015,"fecha.csv",2009-04-23 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091016,"fecha.csv",2009-04-23 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091017,"fecha.csv",2009-04-24 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091018,"fecha.csv",2009-04-23 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091019,"fecha.csv",2009-04-24 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091020,"fecha.csv",2009-04-25 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091021,"fecha.csv",2009-04-25 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091022,"fecha.csv",2009-04-25 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091023,"fecha.csv",2009-04-26 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091024,"fecha.csv",2009-04-26 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091025,"fecha.csv",2009-04-26 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091026,"fecha.csv",2009-04-27 00:00:00.000,1899-12-30 08:00:00.000,"PM"
20091027,"fecha.csv",2009-04-28 00:00:00.000,1899-12-30 08:00:00.000,"PM"
